Account,Container,Blob,VersionId,IsCurrent,Size,SizeFmt,Tier,ExpiresOn,Mode,LegalHold,Status,DaysExp,Eligible,Action
"storage2025v2","cloud1","Veeam/Archive/Veeam/062e4216-6c7d-4c6c-802a-d3f20e4ec7de/9cbd8b8e-9173-475b-89f4-c5dc4892819e/data.v2/Data/{3ce583cf-5874-46a4-8766-90c0be9b8f19}/{2fbcfdd9-534e-4b6e-b680-692e65aaaa75}/162713_34fda288a286ad44b1106d297068f1d8_00000000000000000000000000000000","2025-12-24T15:19:38.4097941Z","",75535,"73.76 KB","Cold","2026-01-27 03:40:39","Locked",False,"Expired",25,True,"None"
"storage2025v2","cloud1","Veeam/Archive/Veeam/062e4216-6c7d-4c6c-802a-d3f20e4ec7de/9cbd8b8e-9173-475b-89f4-c5dc4892819e/data.v2/Data/{3ce583cf-5874-46a4-8766-90c0be9b8f19}/{2fbcfdd9-534e-4b6e-b680-692e65aaaa75}/162722_3d23bb05ed167d6bac9ef666bcb8ea5f_00000000000000000000000000000000","2025-12-24T15:19:38.4137758Z","",166225,"162.33 KB","Cold","2026-01-27 03:40:39","Locked",False,"Expired",25,True,"None"
"storage2025v2","cloud1","Veeam/Archive/Veeam/062e4216-6c7d-4c6c-802a-d3f20e4ec7de/9cbd8b8e-9173-475b-89f4-c5dc4892819e/data.v2/Data/{3ce583cf-5874-46a4-8766-90c0be9b8f19}/{2fbcfdd9-534e-4b6e-b680-692e65aaaa75}/162723_77ba105b6aba28365bb3ac676be823d9_00000000000000000000000000000000","2025-12-24T15:19:38.4227361Z","",158007,"154.30 KB","Cold","2026-01-27 03:40:39","Locked",False,"Expired",25,True,"None"
"storage2025v2","cloud1","Veeam/Archive/Veeam/062e4216-6c7d-4c6c-802a-d3f20e4ec7de/9cbd8b8e-9173-475b-89f4-c5dc4892819e/data.v2/Data/{3ce583cf-5874-46a4-8766-90c0be9b8f19}/{2fbcfdd9-534e-4b6e-b680-692e65aaaa75}/162734_75bec1c4bd4ee3d6a842d199dd431088_00000000000000000000000000000000","2025-12-24T15:19:38.5451989Z","",171013,"167.00 KB","Cold","2026-01-27 03:40:39","Locked",False,"Expired",25,True,"None"
"storage2025v2","cloud1","Veeam/Archive/Veeam/062e4216-6c7d-4c6c-802a-d3f20e4ec7de/9cbd8b8e-9173-475b-89f4-c5dc4892819e/data.v2/Data/{3ce583cf-5874-46a4-8766-90c0be9b8f19}/{2fbcfdd9-534e-4b6e-b680-692e65aaaa75}/162741_0d76d5eb9b9ede2b81e257e9e1709016_00000000000000000000000000000000","2025-12-24T15:19:38.5641171Z","",376429,"367.61 KB","Cold","2026-01-27 03:40:39","Locked",False,"Expired",25,True,"None"
"storage2025v2","cloud1","Veeam/Archive/Veeam/062e4216-6c7d-4c6c-802a-d3f20e4ec7de/9cbd8b8e-9173-475b-89f4-c5dc4892819e/data.v2/Data/{3ce583cf-5874-46a4-8766-90c0be9b8f19}/{2fbcfdd9-534e-4b6e-b680-692e65aaaa75}/162744_2d3cc8243358a7044176b22af736a3ea_00000000000000000000000000000000","2025-12-24T15:19:38.4297054Z","",159563,"155.82 KB","Cold","2026-01-27 03:40:39","Locked",False,"Expired",25,True,"None"
"storage2025v2","cloud1","Veeam/Archive/Veeam/062e4216-6c7d-4c6c-802a-d3f20e4ec7de/9cbd8b8e-9173-475b-89f4-c5dc4892819e/data.v2/Data/{3ce583cf-5874-46a4-8766-90c0be9b8f19}/{2fbcfdd9-534e-4b6e-b680-692e65aaaa75}/162751_206a52c2a57d3bead067a6df2d829fdd_00000000000000000000000000000000","2025-12-24T15:19:38.4297054Z","",8297,"8.10 KB","Cold","2026-01-27 03:40:39","Locked",False,"Expired",25,True,"None"
"storage2025v2","cloud1","Veeam/Archive/Veeam/062e4216-6c7d-4c6c-802a-d3f20e4ec7de/9cbd8b8e-9173-475b-89f4-c5dc4892819e/data.v2/Data/{3ce583cf-5874-46a4-8766-90c0be9b8f19}/{2fbcfdd9-534e-4b6e-b680-692e65aaaa75}/162752_58fe2e4c145b7f5de6be3f9257fd1c3c_00000000000000000000000000000000","2025-12-24T15:19:38.4366748Z","",92483,"90.32 KB","Cold","2026-01-27 03:40:39","Locked",False,"Expired",25,True,"None"
"storage2025v2","cloud1","Veeam/Archive/Veeam/062e4216-6c7d-4c6c-802a-d3f20e4ec7de/9cbd8b8e-9173-475b-89f4-c5dc4892819e/data.v2/Data/{3ce583cf-5874-46a4-8766-90c0be9b8f19}/{2fbcfdd9-534e-4b6e-b680-692e65aaaa75}/162754_22a6bd76311142a40e4255956921113c_00000000000000000000000000000000","2025-12-24T15:19:38.4376704Z","",89175,"87.08 KB","Cold","2026-01-27 03:40:39","Locked",False,"Expired",25,True,"None"
"storage2025v2","cloud1","Veeam/Archive/Veeam/062e4216-6c7d-4c6c-802a-d3f20e4ec7de/9cbd8b8e-9173-475b-89f4-c5dc4892819e/data.v2/Data/{3ce583cf-5874-46a4-8766-90c0be9b8f19}/{2fbcfdd9-534e-4b6e-b680-692e65aaaa75}/162757_9751af05ab737333aabf48f4635499e4_00000000000000000000000000000000","2025-12-24T15:19:38.4585787Z","",43108,"42.10 KB","Cold","2026-01-27 03:40:39","Locked",False,"Expired",25,True,"None"
