Account,Container,Blob,VersionId,Size,SizeFmt,ExpiresOn,Mode,Status,DaysExp,Eligible,Action
"storage2025v2","cloud1","Veeam/Archive/Veeam/062e4216-6c7d-4c6c-802a-d3f20e4ec7de/9cbd8b8e-9173-475b-89f4-c5dc4892819e/data.v2/Data/{3ee89759-5bcb-4d18-822d-f9473de24b3f}/{195129b6-689d-4cd6-a994-3aba62e5b23d}/11715_583150a2b757c45cbfe4f6ea5f7f98dd_00000000000000000000000000000000","2025-12-19T15:18:01.1852679Z",206427,"201.59 KB","1/27/2026 3:40:39 AM +00:00","Locked","Expired","25","True",""
"storage2025v2","cloud1","Veeam/Archive/Veeam/062e4216-6c7d-4c6c-802a-d3f20e4ec7de/9cbd8b8e-9173-475b-89f4-c5dc4892819e/data.v2/Data/{3ee89759-5bcb-4d18-822d-f9473de24b3f}/{195129b6-689d-4cd6-a994-3aba62e5b23d}/11716_6a2ebac75bc77ebfee48d750646154b7_00000000000000000000000000000000","2025-12-19T15:18:01.4311900Z",300183,"293.15 KB","1/27/2026 3:40:39 AM +00:00","Locked","Expired","25","True",""
"storage2025v2","cloud1","Veeam/Archive/Veeam/062e4216-6c7d-4c6c-802a-d3f20e4ec7de/9cbd8b8e-9173-475b-89f4-c5dc4892819e/data.v2/Data/{3ee89759-5bcb-4d18-822d-f9473de24b3f}/{195129b6-689d-4cd6-a994-3aba62e5b23d}/11717_e6c0e957a029bb6b81296fbe5f278c30_00000000000000000000000000000000","2025-12-19T15:18:01.6860724Z",289956,"283.16 KB","1/27/2026 3:40:39 AM +00:00","Locked","Expired","25","True",""
"storage2025v2","cloud1","Veeam/Archive/Veeam/062e4216-6c7d-4c6c-802a-d3f20e4ec7de/9cbd8b8e-9173-475b-89f4-c5dc4892819e/data.v2/Data/{3ee89759-5bcb-4d18-822d-f9473de24b3f}/{195129b6-689d-4cd6-a994-3aba62e5b23d}/11718_8156cfa083e618cbd0be3cbfbab2851c_00000000000000000000000000000000","2025-12-19T15:18:01.3276439Z",217792,"212.69 KB","1/27/2026 3:40:39 AM +00:00","Locked","Expired","25","True",""
"storage2025v2","cloud1","Veeam/Archive/Veeam/062e4216-6c7d-4c6c-802a-d3f20e4ec7de/9cbd8b8e-9173-475b-89f4-c5dc4892819e/data.v2/Data/{3ee89759-5bcb-4d18-822d-f9473de24b3f}/{195129b6-689d-4cd6-a994-3aba62e5b23d}/11719_24f447cb6c1cd586dd407c019b5356ee_00000000000000000000000000000000","2025-12-19T15:18:01.2091626Z",256875,"250.85 KB","1/27/2026 3:40:39 AM +00:00","Locked","Expired","25","True",""
"storage2025v2","cloud1","Veeam/Archive/Veeam/062e4216-6c7d-4c6c-802a-d3f20e4ec7de/9cbd8b8e-9173-475b-89f4-c5dc4892819e/data.v2/Data/{3ee89759-5bcb-4d18-822d-f9473de24b3f}/{195129b6-689d-4cd6-a994-3aba62e5b23d}/11720_ba6e3c88d93258cf4d470804c1f5a840_00000000000000000000000000000000","2025-12-19T15:18:01.2141412Z",208674,"203.78 KB","1/27/2026 3:40:39 AM +00:00","Locked","Expired","25","True",""
"storage2025v2","cloud1","Veeam/Archive/Veeam/062e4216-6c7d-4c6c-802a-d3f20e4ec7de/9cbd8b8e-9173-475b-89f4-c5dc4892819e/data.v2/Data/{3ee89759-5bcb-4d18-822d-f9473de24b3f}/{195129b6-689d-4cd6-a994-3aba62e5b23d}/11721_3d89f6b24bc659d627aa597a9e8d8ae6_00000000000000000000000000000000","2025-12-19T15:18:01.3475558Z",235778,"230.25 KB","1/27/2026 3:40:39 AM +00:00","Locked","Expired","25","True",""
"storage2025v2","cloud1","Veeam/Archive/Veeam/062e4216-6c7d-4c6c-802a-d3f20e4ec7de/9cbd8b8e-9173-475b-89f4-c5dc4892819e/data.v2/Data/{3ee89759-5bcb-4d18-822d-f9473de24b3f}/{195129b6-689d-4cd6-a994-3aba62e5b23d}/11722_907b8ed36aac8c37711b048341ec6bae_00000000000000000000000000000000","2025-12-19T15:18:01.3505430Z",221404,"216.21 KB","1/27/2026 3:40:39 AM +00:00","Locked","Expired","25","True",""
"storage2025v2","cloud1","Veeam/Archive/Veeam/062e4216-6c7d-4c6c-802a-d3f20e4ec7de/9cbd8b8e-9173-475b-89f4-c5dc4892819e/data.v2/Data/{3ee89759-5bcb-4d18-822d-f9473de24b3f}/{195129b6-689d-4cd6-a994-3aba62e5b23d}/11723_169ec9bf0d2d6e4c4b8757a717b1cdf2_00000000000000000000000000000000","2025-12-19T15:18:01.2380368Z",242850,"237.16 KB","1/27/2026 3:40:39 AM +00:00","Locked","Expired","25","True",""
"storage2025v2","cloud1","Veeam/Archive/Veeam/062e4216-6c7d-4c6c-802a-d3f20e4ec7de/9cbd8b8e-9173-475b-89f4-c5dc4892819e/data.v2/Data/{3ee89759-5bcb-4d18-822d-f9473de24b3f}/{195129b6-689d-4cd6-a994-3aba62e5b23d}/11724_bbe4358aae6da07ad7c890a758a7d896_00000000000000000000000000000000","2025-12-19T15:18:01.3744392Z",211406,"206.45 KB","1/27/2026 3:40:39 AM +00:00","Locked","Expired","25","True",""
